,id,z,coverage,coverage_class
2488,0fcbd0567b,789,0.0,0
3284,b28690f7ad,746,0.5228899127536516,6
3278,4285c2ffe8,158,0.0,0
2711,1037da2ff7,539,0.7456131751789041,8
2379,3b2f902ec6,858,0.0,0
3086,6a7506aa1e,378,0.266150377413979,3
2689,b9fd9429e3,516,0.3241839035388687,4
729,db1eeaebb4,693,0.4405450446034703,5
584,12d09b9fa4,444,0.316145475933732,4
147,f65a52f375,217,0.0,0
1885,f11f8eab00,603,0.5257327712969316,6
3730,2bfa664017,288,0.16763062444858348,2
2791,a56ff4758a,665,0.024213312420350942,1
1004,6cc7ba6c56,888,0.12400745024997548,2
1976,d514a30db3,751,0.0,0
3564,707f14c59a,790,0.6092539947064013,7
875,43a1dbb062,706,0.0,0
3718,800daf6ac1,457,0.5798451132241937,6
1688,8693030eb3,618,0.4826977747279678,5
192,045c5516a2,515,0.29722576218017843,3
2352,740d34befe,602,0.2526222919321635,3
469,6e3c46c2d3,214,0.0,0
3195,aa791ce59a,648,0.0066660131359670615,1
3016,ab5fe4fea8,846,0.0,0
3893,ba045610d1,398,0.2660523478090383,3
378,cf706fb35a,682,0.7810018625624938,8
3970,16207869ba,359,0.6564062346828742,7
3225,9ca11c3696,696,0.0034310361729242233,1
1879,479cb24efb,343,0.04783844721105774,1
1515,21df07989f,740,0.06754239780413683,1
1966,ee3b4b8c91,586,0.503970199000098,6
451,71ef380e21,343,0.8641309675522008,9
3326,c74ef130f0,621,0.10165670032349768,2
1073,3404341cc6,813,0.0,0
3599,7f5a72fa2c,613,0.008528575629840211,1
2427,4ff5c5ef47,576,0.0,0
738,2fb6791298,159,0.0,0
2360,feadf0e85d,462,0.29928438388393297,3
2653,6c25735f24,111,0.0,0
2066,b690abdc09,419,0.9954906381727282,10
1329,ad29bc8923,681,0.0,0
2635,7f2694ca3f,425,0.5902362513479069,6
3139,67a8e23baa,434,0.13204587785511224,2
2657,5d600057f5,310,0.0483285952357612,1
3930,73f58ba609,220,0.0,0
406,502b97b954,704,0.0,0
906,bbf6b192be,527,0.0,0
1090,73a4c6a4bb,518,0.0433290853837859,1
162,62966dffd3,817,0.0,0
953,2bf5343f03,545,0.10361729242231152,2
2214,fa50e86a72,511,0.0,0
1197,9086ac3a68,485,0.07273796686599353,1
443,a4e90eef39,463,0.0,0
3181,2388b3eb40,685,0.2841878247230664,3
3687,d21012f5c1,595,0.8299186354278992,9
2139,1414606ab4,542,0.9861778257033624,10
227,0fea4b5049,382,0.3593765317125772,4
174,057eae4f34,360,0.7026762082148809,8
2614,c82f7676ac,414,0.0,0
3055,16cebad726,476,0.3805509263797667,4
2655,19cc342b91,344,0.1499852955592589,2
2892,9704b1ba61,720,0.2796784628957945,3
739,a1526d3c6e,200,0.965297519850995,10
2239,56a4e5c1e5,274,0.5413194784825017,6
280,c1c54ad4ba,850,0.0,0
3208,174b478747,606,0.34996568963827074,4
3257,a826a7a9a4,306,0.0,0
707,b329b390e4,800,0.2306636604254485,3
934,578b502c6d,578,0.13802568375649446,2
2171,57293a65d5,554,0.7316929712773258,8
1473,c8d70d9c3d,544,0.02911479266738555,1
1537,ca2e414e83,697,0.0,0
356,253ee294d9,340,0.0,0
3058,cfdc385955,348,0.4103519262817371,5
2768,6738d474a3,84,0.0,0
2560,bf294b9661,533,0.5078913831977258,6
2730,176ad39bc7,224,0.2705617096363101,3
3268,518ee8cf52,545,0.03989804921086168,1
1276,568d119e66,365,0.0002940888148220762,1
3958,70c92bc80f,432,0.0,0
3145,3685aa0e78,418,0.5974904421135183,6
1827,f1cdcb9883,663,0.0,0
1487,13fb17bf13,449,0.0,0
1005,cb974e60ca,481,0.01774335849426527,1
3626,f0d15c63c5,151,0.0,0
1175,7588e9645a,311,0.1275365160278404,2
563,cb4f7abe67,183,0.99009900990099,10
1381,f5ffe74512,600,0.1474365258308009,2
2549,7f5914b74a,850,0.0,0
1339,dfe111dace,780,0.0,0
1496,751a212e82,362,0.0,0
3949,557feaaf65,432,0.0,0
3773,38ec59117e,667,0.0,0
2945,e5c26c8634,230,0.0,0
3756,11bfb46a23,515,0.0,0
980,fa25724a62,221,0.0,0
1040,999ae650f6,672,0.3096755220076463,4
92,a8247ac73a,128,0.0,0
308,690b1ce5f7,720,0.7798255073032055,8
68,754cfc4b80,943,0.0,0
439,21d01a8e82,264,0.0,0
1178,ebff5f719e,667,0.3458484462307617,4
3715,7576015468,217,0.01313596706205274,1
3654,b5b767492b,676,0.9622586020978336,10
1687,a33e7de189,798,0.930889128516812,10
1187,71a5b1da57,339,0.9942162533084992,10
2436,060cdfded5,165,0.0,0
3712,26382e2d1f,552,0.03568277619841192,1
1946,7de95e0115,367,0.002058621703754534,1
3740,60638605b1,753,0.0,0
1516,4d9fa2d97f,544,0.21654739731398884,3
1766,46673b0e2d,395,0.0,0
644,7cc53fe88b,452,0.8231545926869914,9
862,f115ca6981,158,0.1998823644740712,2
1123,fd998a993b,466,0.8445250465640624,9
3994,cb36193e2f,648,0.9080482305656308,10
3788,8919be1266,519,0.9991177335555338,10
1134,f87365827d,827,0.0015684736790510733,1
1030,e82b7a2abb,115,0.0,0
1557,3d0f8c81ce,288,0.0,0
3077,217eeca27e,493,0.0,0
3380,2010b17cf6,565,0.0,0
3576,37251064bd,194,0.0,0
1264,255e6ef6a9,947,0.0,0
2677,6f79e6d54b,58,0.0,0
916,5bb976391e,288,0.0,0
1001,17e67f9ce4,807,0.0,0
1138,62aad7556c,926,0.5148514851485149,6
3000,7a0f1e9b45,687,0.7630624448583472,8
1730,6f78817a2d,485,0.5134790706793452,6
2963,ebf89446f2,392,0.17527693363395747,2
1179,48a18f5386,638,0.0434271149887266,1
2363,c1f92fd149,220,9.802960494069208e-05,1
1980,ffce5bbb9a,457,0.3992745809234389,4
3116,23bbdfd154,509,0.0,0
2002,a78e36d77b,525,0.0,0
1182,b09f0e743d,688,0.0,0
