id,z,coverage,coverage_class
575d24d81d,843,0.0,0
a266a2a9df,794,0.504950495049505,6
75efad62c1,468,0.993333986864033,10
34e51dba6a,727,0.14920105871973335,2
4875705fb0,797,0.042838937359082445,1
782ae9b7e7,677,0.22537006175865112,3
9842f69f8d,907,0.0,0
aa94cfb806,754,0.6658170767571807,7
50d3073821,810,0.297029702970297,3
28f865caaa,147,0.0,0
b5e1371b3b,325,0.7409077541417508,8
57e394bc67,765,0.0,0
b45ad3932e,613,0.28369767669836293,3
ef51bbcde7,712,0.0,0
d4d34af4f7,114,0.13861386138613863,2
302ea1ac81,470,0.5250465640623468,6
40dcff68b3,707,0.6202333104597588,7
7845115d01,343,0.24752475247524752,3
3da729cae9,707,0.12616410155867072,2
d67e3a11d8,585,0.0,0
b3396387a6,407,0.5258308009018724,6
a5471f53d8,659,0.006764042740907754,1
d27831fef2,657,0.22870306832663465,3
7faea04242,818,0.7527693363395745,8
9747413253,472,0.0,0
b9614348f4,429,0.5095578864817175,6
4696bb53e6,438,0.21899813743750612,3
fc250f574c,684,0.06920890108812862,1
005b452274,657,0.0,0
02117a400e,696,0.237819821586119,3
4e4cadf03f,703,0.0,0
1ee0d5b4d0,307,0.6671894912263504,7
fdc28cafdc,338,0.07518870698951083,1
2bc8a3db3c,353,0.2666405254386825,3
35fd991255,333,0.5654347612979119,6
68a2df3195,555,0.4433879031467503,5
3be0c0be8e,797,0.0,0
1f0b16aa13,364,0.0,0
9bf982cf65,716,0.959905891579257,10
36aa21019e,482,0.7891383197725713,8
d422a9eb8f,662,0.0,0
e0b6a1211f,193,0.0,0
5e3c2aa2bb,307,0.0,0
d3f3db7bd1,258,0.0,0
0b176124c4,744,0.05352416429761788,1
368f635c4c,698,0.0,0
eabe9337a9,540,0.9460837172826193,10
c4f2799234,188,0.1114596608175669,2
50290e75f9,658,0.03283991765513185,1
06289f69f8,644,0.49014802470346047,5
3f8634704b,634,0.0,0
f328eccbf3,514,0.04940692089010881,1
9f0ebbd210,492,0.6764042740907754,7
dd5a90cf89,226,0.5523968238407999,6
5b836d2444,810,0.02156651308695226,1
6c3a9009c8,759,0.0,0
1263576548,398,0.7154200568571709,8
5edb37f5a8,182,0.0,0
3f8a8f4715,456,0.03009508871679247,1
75e041fbd8,668,0.942064503480051,10
58777a8c79,332,0.4420154886775806,5
b2899a1188,739,0.0,0
428a877104,919,0.0,0
13209940d7,475,0.49406920890108813,5
d0319f0ec5,380,0.8153122242917361,9
b92ff69b44,243,0.0,0
9e9f3940a9,405,0.0006862072345848446,1
728890d8f8,548,0.034702480149005,1
754cfc4b80,943,0.0,0
127ef4105f,476,0.6752279188314871,7
42758bb41a,259,0.1447897264974022,2
4e6855dbae,500,0.9065777864915204,10
4a12baccc4,566,0.0,0
3281bb7282,637,0.6000392118419763,7
f1774ff8e8,670,0.9818645230859719,10
628ea36ba6,680,0.0,0
95a60e2f42,558,0.04274090775414175,1
e2421eee13,483,0.39084403489853936,4
fcb49356a5,91,0.0,0
63feb8de2b,751,0.0,0
992572448c,262,0.134986766003333,2
0926b7396b,673,0.0,0
8f407b64ae,144,0.0,0
e667f4d290,298,0.0,0
7deaf30c4a,365,0.5742574257425742,6
28553d5d42,313,0.039603960396039604,1
be565e046b,801,0.0,0
b183b2ddc4,347,0.1907656112145868,2
cf11876547,518,0.0,0
495a2d3c7c,470,0.9314773061464562,10
a536f382ec,152,0.0,0
8fb68e99e8,312,0.0,0
a8247ac73a,128,0.0,0
9f3b8d0186,469,0.23742770316635625,3
05be75afd9,708,0.03460445054406431,1
e4159ed1de,520,0.004999509851975297,1
3ed6d1c7df,633,0.14057445348495246,2
7977cbab6f,224,0.0,0
b221ece24b,529,0.7771787079698069,8
29d8bf3a4c,834,0.0,0
400e66f34e,361,0.058915792569355946,1
4b522e501e,311,0.7724732869326537,8
7fadb8efe8,678,0.5730810704832859,6
702209f0b3,756,0.0,0
1d93614392,635,0.48112930104891677,5
fd1be18f7d,460,0.34780903832957555,4
670d9655d5,464,0.7781590040192138,8
c72b546073,247,0.25791589059896086,3
6a1783be17,392,0.12616410155867072,2
b4f6d6f1aa,658,0.6646407214978923,7
b525824dfc,628,0.8316831683168316,9
e353ae4dd5,693,0.00656798353102637,1
9ca84742ef,537,0.33888834427997255,4
f057258486,263,0.0,0
393048bc6c,107,0.0,0
684555a30a,404,0.0,0
cae1a9f23f,643,0.00941084207430644,1
525be73de5,197,0.0,0
5c7f310937,694,0.9710812665424958,10
edf47afe46,325,0.0,0
a05ae39815,337,0.0,0
97515a958d,82,0.0,0
0898e36ee6,866,0.0,0
89a74723fd,472,0.0,0
9a48617407,74,0.0,0
d26e890704,530,0.7962944809332418,8
1cad8c327b,613,0.0,0
db548fd037,596,0.0,0
cd1b2e49f4,265,0.06666013135967062,1
1e4c96a9cd,562,0.0,0
f712d8b870,279,0.0136261150867562,1
47aba1e35c,530,0.267424762278208,3
51e82eaa5b,230,0.0,0
535503063e,692,0.2849720615625919,3
1ab49f29e9,915,0.0,0
8320911258,290,0.8888344279972552,9
99909324ed,67,0.0,0
87d58438cc,419,0.0,0
9d462381b0,927,0.0,0
ab18a0a7fa,547,0.8118811881188119,9
40a571cf0f,445,0.9279482403685914,10
a076699b79,410,0.4297617880599941,5
f45dbe6541,436,0.3423193804528968,4
a9e940dccd,339,0.0,0
3de0c773e1,324,0.46671894912263506,5
9fbd3ca3b5,295,0.0,0
340fe814a3,652,0.47024801490049994,5
f65a52f375,217,0.0,0
e6674212ce,474,0.0,0
e030bdae65,630,0.273796686599353,3
da082ec985,487,0.9998039407901186,10
737e6513c8,127,0.0068620723458484465,1
ef29bdffc6,733,0.0,0
7e9e46174c,247,0.5127928634447603,6
a774562f5e,282,0.0,0
e92f67b3c7,301,0.40662680129399076,5
b506085af9,146,0.7019900009802961,8
948d73d7c2,947,0.0,0
ef654c1b73,946,0.0,0
cddb50fb4b,575,0.2550730320556808,3
2a070f3dc6,716,0.9532398784432898,10
40d01e18a0,280,0.0,0
62966dffd3,817,0.0,0
54dd074cd7,738,0.16635623958435447,2
75d70e2411,530,0.0,0
eab589e1f2,63,0.0,0
9dcb043fa9,558,0.3719243211449858,4
2f5377ea9d,845,0.5683756494461327,6
db32e0961b,605,0.03401627291442016,1
3634f29aac,672,0.2367414959317714,3
c2e9f328e3,481,0.9455935692579159,10
676d100540,655,0.0,0
a21afccc50,369,0.0,0
7d8b219e1c,668,0.6523870208803059,7
057eae4f34,360,0.7026762082148809,8
3116a9d54c,887,0.0,0
1c02222ef8,670,0.3054602489951965,4
24a8ae9bb9,560,0.9995098519752965,10
132e30cffd,790,0.17419860797960984,2
dca83468d2,320,0.2651700813645721,3
6c91546a57,220,0.0,0
5d752d6d4a,235,0.0,0
836eedd4a7,504,0.0,0
36e68393b6,586,0.2581119498088423,3
697f80cece,154,0.0,0
53dab98a36,574,0.6007254190765611,7
287aea3a3b,452,0.0,0
34d2af0f86,818,0.0,0
d3b6c08868,206,0.0,0
b80db32c01,704,0.0,0
62d6a9b673,115,0.0,0
96f8fd0d4b,228,0.0,0
045c5516a2,515,0.29722576218017843,3
51846d4c96,579,0.0,0
0429d9759b,737,0.5380845015194589,6
d8b2dc2e8a,659,0.304676012155671,4
962348be7a,660,0.01499852955592589,1
8d141a0b7a,687,0.11910597000294089,2
fd0d237b01,824,0.109204979903931,2
71d3bf0ea8,803,0.09322615429859818,1
3edc3edf92,330,0.024997549259876482,1
86c1109730,782,0.12224291736104304,2
b5bdff9392,919,0.0030389177531614546,1
4702cdd4f0,350,0.03930987158121753,1
baa743f4b4,438,0.1189099107930595,2
ac412e6d55,555,0.24340750906773845,3
6493c2cbab,230,0.0,0
d538594e14,107,0.0,0
a86acaf330,206,0.0,0
483b35d589,691,0.6237623762376238,7
4b2af55ae6,841,0.6769924517204196,7
8c1d0929a2,77,0.0,0
d629a56d3c,482,0.0,0
c450f9d7f4,637,0.04646603274188805,1
40d96e8022,583,0.8531516517988432,9
5ef096aeac,598,0.45819037349279484,5
83bb4578eb,386,0.7398294284874032,8
57e0cff707,289,0.11185177923732967,2
96049af037,128,0.0,0
4d33311a1e,887,0.0,0
de1142326e,446,0.0,0
8daa7e48d1,149,0.05911185177923733,1
7504d73df8,462,0.5927850210763651,6
34b32c5b5d,767,0.0,0
960f92cf81,848,0.0,0
78f17697f2,607,0.998725615135771,10
0df375dc9c,746,0.0,0
0fea4b5049,382,0.3593765317125772,4
8c477d6abf,558,0.6290559749044211,7
3cc59342bd,386,0.08381531222429174,1
726a0d854d,846,0.0,0
216aa6275d,637,0.6251347907067935,7
8ddaea54ce,452,0.934418194294677,10
f342603c76,754,0.0,0
f456e3161d,584,0.17498284481913537,2
86fe531971,766,0.0,0
b57e98a275,497,0.014410351926281737,1
71438f26ec,947,0.4276051367512989,5
d800abe6a4,709,0.9022644838741299,10
51b639314d,318,0.0,0
a7b918d80e,290,0.12028232526222919,2
f0c401b64b,625,0.49504950495049505,5
a93c251217,229,0.0,0
c613a090a4,596,0.2779139300068621,3
d765e53b37,844,0.6715027938437408,7
c9da9c3d42,591,0.6303303597686502,7
dfc8a378b7,820,0.4635820017645329,5
e5a22d144d,520,0.0,0
f4e6928ad4,720,0.016174884815214195,1
9385125b12,266,0.0,0
c901f669f8,511,0.05626899323595726,1
89dfb7ba1d,547,0.6000392118419763,7
6b996daecc,632,0.35516125870012744,4
13037dfbb2,670,0.010195078913831977,1
b74ecdfe20,377,0.11077345358298206,2
eabed5b2b4,207,0.0,0
c78c89577c,236,9.802960494069208e-05,1
e2f397d206,262,0.1609646113126164,2
75c554378e,569,0.0,0
e446b0b4b6,659,0.12939907852171356,2
203f6117be,563,0.7346338594255465,8
7e737a6cc6,557,0.09018723654543673,1
1efe1909ed,143,0.0,0
1825fadf99,157,0.0,0
106a222c7c,375,0.06773845701401823,1
691dc0bc42,453,0.7013037937457112,8
cc4344175e,677,0.05499460837172826,1
19e749d0b1,193,0.0,0
e875c9a960,576,0.8230565630820508,9
d7cf3bf4e9,465,0.8055092637976669,9
5aa0015d15,54,0.0,0
ee5e9e4570,302,0.5658268797176748,6
849881c690,701,0.9405940594059405,10
d7398cfded,406,0.28791294971081266,3
042c3d4e03,668,0.005391628271738065,1
8c976149d0,648,0.0046073914322125285,1
9d173ec22a,599,0.11057739437310067,2
8c88cf3d22,153,0.0,0
fba91bfec8,581,0.0,0
82e88d973f,428,0.0,0
